country_code,age,timeliness,prop_final_cov
BTN,130,1,
BTN,134,1,
BTN,139,1,
BTN,143,1,
BTN,147,1,
BTN,152,1,
CAF,,,0.661538
CAF,0,0,
CAF,1,0.000141538,
CAF,2,0.000141538,
CAF,3,0.001538462,
CAF,4,0.001538462,
CAF,5,0.002153846,
CAF,6,0.002461538,
CAF,7,0.002461538,
CAF,8,0.003076923,
CAF,9,0.003230769,
CAF,10,0.004615385,
CAF,11,0.004615385,
CAF,12,0.004615385,
CAF,13,0.004923077,
CAF,14,0.004923077,
CAF,15,0.014461538,
CAF,16,0.014769231,
CAF,17,0.015384615,
CAF,18,0.026153846,
CAF,19,0.026153846,
CAF,20,0.026153846,
CAF,21,0.030769231,
CAF,22,0.030769231,
CAF,23,0.033846154,
CAF,24,0.033846154,
CAF,25,0.04,
CAF,26,0.046153846,
CAF,27,0.058461538,
CAF,28,0.063076923,
CAF,29,0.064615385,
CAF,30,0.066153846,
CAF,31,0.081538462,
CAF,32,0.081538462,
CAF,33,0.084615385,
CAF,34,0.106153846,
CAF,35,0.106153846,
CAF,36,0.136923077,
CAF,37,0.136923077,
CAF,38,0.169230769,
CAF,39,0.184615385,
CAF,40,0.261538462,
CAF,41,0.323076923,
CAF,42,0.384615385,
CAF,43,0.446153846,
CAF,44,0.492307692,
CAF,45,0.507692308,
CAF,46,0.538461538,
CAF,47,0.569230769,
CAF,48,0.6,
CAF,49,0.630769231,
CAF,50,0.646153846,
CAF,51,0.661538462,
CAF,52,0.661538462,
CAF,56,0.723076923,
CAF,61,0.753846154,
CAF,65,0.784615385,
CAF,69,0.815384615,
CAF,74,0.846153846,
CAF,78,0.876923077,
CAF,82,0.907692308,
CAF,87,0.907692308,
CAF,91,0.923076923,
CAF,95,0.938461538,
CAF,100,0.953846154,
CAF,104,0.969230769,
CAF,108,0.969230769,
CAF,113,0.969230769,
CAF,117,0.969230769,
CAF,121,0.984615385,
CAF,126,0.984615385,
CAF,130,0.984615385,
CAF,134,0.984615385,
CAF,139,0.984615385,
CAF,143,1,
CAF,147,1,
CAF,152,1,
CHN,,,0.945055
CHN,0,0,
CHN,1,0,
CHN,2,0,
CHN,3,0,
CHN,4,0,
CHN,5,0,
CHN,6,0,
CHN,7,0.002307692,
CHN,8,0.005824176,
CHN,9,0.00989011,
CHN,10,0.010879121,
CHN,11,0.010879121,
CHN,12,0.012087912,
CHN,13,0.012087912,
CHN,14,0.012087912,
CHN,15,0.013186813,
CHN,16,0.013186813,
CHN,17,0.014285714,
CHN,18,0.050549451,
CHN,19,0.051648352,
CHN,20,0.051648352,
CHN,21,0.051648352,
CHN,22,0.059340659,
CHN,23,0.059340659,
CHN,24,0.059340659,
CHN,25,0.061538462,
CHN,26,0.074725275,
CHN,27,0.074725275,
CHN,28,0.079120879,
CHN,29,0.079120879,
CHN,30,0.084615385,
CHN,31,0.085714286,
CHN,32,0.086813187,
CHN,33,0.086813187,
CHN,34,0.086813187,
CHN,35,0.086813187,
CHN,36,0.105494505,
CHN,37,0.120879121,
CHN,38,0.142857143,
CHN,39,0.197802198,
CHN,40,0.351648352,
CHN,41,0.461538462,
CHN,42,0.56043956,
CHN,43,0.67032967,
CHN,44,0.758241758,
CHN,45,0.813186813,
